日付,曜日,病院名,住所,TEL（昼）,TEL（夜）,診療科目,日中,夜間
2023年3月31日,金曜日,木原病院,今治市別宮町３－７－８,0898-23-0634,,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月1日,土曜日,白石病院,今治市松本町１－５－９,0898-32-4135,,指定なし,08:30～17:30,
2023年4月1日,土曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,指定なし,,17:30～翌日08:30
2023年4月2日,日曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月2日,日曜日,県立今治病院,今治市石井町４－５－５,0898-32-7111,0898-32-7111,小児科,09:00～17:00,
2023年4月2日,日曜日,医療法人　喜多嶋診療所,今治市伯方町木浦甲３４４９,0897-72-0250,,指定なし,09:00～17:00,
2023年4月3日,月曜日,広瀬病院,今治市喜田村６丁目５番１号,0898-47-0100,0898-47-0100,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月4日,火曜日,済生会今治病院,今治市喜田村７丁目１番６号,0898-47-2500,0898-47-2500,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月5日,水曜日,今治第一病院,今治市宮下町１―１―２１,0898-23-2000,,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月6日,木曜日,白石病院,今治市松本町１－５－９,0898-32-4135,,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月7日,金曜日,県立今治病院,今治市石井町４－５－５,0898-32-7111,0898-32-7111,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月8日,土曜日,木原病院,今治市別宮町３－７－８,0898-23-0634,,指定なし,08:30～17:30,
2023年4月8日,土曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,指定なし,,17:30～翌日08:30
2023年4月9日,日曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月9日,日曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,内科,09:00～17:30,
2023年4月9日,日曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,小児科,09:00～17:00,
2023年4月9日,日曜日,有津むらかみクリニック,今治市伯方町有津甲２３３５番地,0897-72-3200,0897-72-3200,指定なし,09:00～17:00,
2023年4月10日,月曜日,瀬戸内海病院,今治市北宝来町２－４－９,0898-23-0655,,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月11日,火曜日,今治第一病院,今治市宮下町１―１―２１,0898-23-2000,,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月12日,水曜日,県立今治病院,今治市石井町４－５－５,0898-32-7111,0898-32-7111,指定なし,08:30～17:15,22:30～翌日08:30
2023年4月12日,水曜日,今治セントラルクリニック,今治市松本町２丁目６番地６,0898-22-5251,0898-34-0088,指定なし,,17:15～22:30
2023年4月13日,木曜日,済生会今治病院,今治市喜田村７丁目１番６号,0898-47-2500,0898-47-2500,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月14日,金曜日,木原病院,今治市別宮町３－７－８,0898-23-0634,,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月15日,土曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月16日,日曜日,瀬戸内海病院,今治市北宝来町２－４－９,0898-23-0655,,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月16日,日曜日,まつうらバンビクリニック,今治市北宝来町３－３－３４,0898-22-0573,0898-22-0573,小児科,09:00～17:00,
2023年4月16日,日曜日,松浦医院,今治市上浦町井口５３００番地,0897-87-3350,0897-87-3350,指定なし,09:00～17:00,
2023年4月17日,月曜日,広瀬病院,今治市喜田村６丁目５番１号,0898-47-0100,0898-47-0100,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月18日,火曜日,県立今治病院,今治市石井町４－５－５,0898-32-7111,0898-32-7111,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月19日,水曜日,済生会今治病院,今治市喜田村７丁目１番６号,0898-47-2500,0898-47-2500,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月20日,木曜日,白石病院,今治市松本町１－５－９,0898-32-4135,,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月21日,金曜日,木原病院,今治市別宮町３－７－８,0898-23-0634,,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月22日,土曜日,今治第一病院,今治市宮下町１―１―２１,0898-23-2000,,指定なし,08:30～17:30,
2023年4月22日,土曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,指定なし,,17:30～翌日08:30
2023年4月23日,日曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月23日,日曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,内科,09:00～17:30,
2023年4月23日,日曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,小児科,09:00～17:00,
2023年4月23日,日曜日,大三島中央病院,今治市大三島町宮浦５３１８－１,0897-82-1111,0897-82-1111,指定なし,09:00～17:00,
2023年4月24日,月曜日,瀬戸内海病院,今治市北宝来町２－４－９,0898-23-0655,,指定なし,08:30～17:30,17:30～翌日08:30
2023年4月25日,火曜日,済生会今治病院,今治市喜田村７丁目１番６号,0898-47-2500,0898-47-2500,指定なし,08:30～17:30,17:30～翌日08:30
