日付,曜日,病院名,住所,TEL（昼）,TEL（夜）,診療科目,日中,夜間
2023年6月30日,金曜日,木原病院,今治市別宮町３－７－８,0898-23-0634,,指定なし,08:30～17:30,17:30～翌日08:30
2023年7月1日,土曜日,白石病院,今治市松本町１－５－９,0898-32-4135,,指定なし,08:30～17:30,
2023年7月1日,土曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,指定なし,,17:30～翌日08:30
2023年7月2日,日曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,指定なし,08:30～17:30,17:30～翌日08:30
2023年7月2日,日曜日,県立今治病院,今治市石井町４－５－５,0898-32-7111,0898-32-7111,小児科,09:00～17:00,
2023年7月2日,日曜日,有津むらかみクリニック,今治市伯方町有津甲２３３５番地,0897-72-3200,0897-72-3200,指定なし,09:00～17:00,
2023年7月3日,月曜日,広瀬病院,今治市喜田村６丁目５番１号,0898-47-0100,0898-47-0100,指定なし,08:30～17:30,17:30～翌日08:30
2023年7月4日,火曜日,県立今治病院,今治市石井町４－５－５,0898-32-7111,0898-32-7111,指定なし,08:30～17:30,17:30～翌日08:30
2023年7月5日,水曜日,済生会今治病院,今治市喜田村７丁目１番６号,0898-47-2500,0898-47-2500,指定なし,08:30～17:30,17:30～翌日08:30
2023年7月6日,木曜日,白石病院,今治市松本町１－５－９,0898-32-4135,,指定なし,08:30～17:30,17:30～翌日08:30
2023年7月7日,金曜日,木原病院,今治市別宮町３－７－８,0898-23-0634,,指定なし,08:30～17:30,17:30～翌日08:30
2023年7月8日,土曜日,今治第一病院,今治市宮下町１―１―２１,0898-23-2000,,指定なし,08:30～17:30,
2023年7月8日,土曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,指定なし,,17:30～翌日08:30
2023年7月9日,日曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,指定なし,08:30～17:30,17:30～翌日08:30
2023年7月9日,日曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,内科,09:00～17:30,
